Name,UK £ TO EURO,JAPANESE YEN TO EURO,SWISS FRANC TO EURO
1991-01-29,1.427449861,0.005519373,0.576302444
1991-01-30,1.424846473,0.005526999,0.575638959
1991-01-31,1.421989648,0.005494807,0.572967398
1991-02-01,1.419547164,0.005474353,0.573723465
1991-02-04,1.415147741,0.005466871,0.571984213
1991-02-05,1.417655481,0.005489378,0.572016932
1991-02-06,1.417414353,0.005530362,0.573098745
1991-02-07,1.417092975,0.005530668,0.575010063
1991-02-08,1.41574879,0.005575068,0.57211511
1991-02-11,1.415408133,0.005573515,0.571689915
1991-02-12,1.416410532,0.005549082,0.570808836
1991-02-13,1.417876588,0.005526694,0.570483199
1991-02-14,1.417454535,0.005525167,0.570678537
1991-02-15,1.420898576,0.00553526,0.569378808
1991-02-18,1.420051122,0.005555864,0.569443654
1991-02-19,1.420757264,0.005547542,0.568860572
1991-02-20,1.421544935,0.005542316,0.570971794
1991-02-21,1.423284942,0.005542623,0.570580851
1991-02-22,1.424440551,0.005539859,0.570515746
1991-02-25,1.427449861,0.005567619,0.569411229
1991-02-26,1.427796339,0.005573204,0.568472514
1991-02-27,1.422920402,0.005613562,0.565834889
1991-02-28,1.422110982,0.005598477,0.562619557
1991-03-01,1.424197109,0.005576934,0.562809545
1991-03-04,1.422596523,0.005545389,0.562208354
1991-03-05,1.421161089,0.005516633,0.561009818
1991-03-06,1.421645982,0.005521506,0.56012995
1991-03-07,1.422252564,0.005533422,0.558284949
1991-03-08,1.424562303,0.005568859,0.559127761
1991-03-11,1.426492825,0.005568549,0.560412464
1991-03-12,1.424460842,0.005612932,0.561924028
1991-03-13,1.42582163,0.005618925,0.561072771
1991-03-14,1.42728687,0.00565995,0.562461331
1991-03-15,1.42844899,0.005668292,0.562113547
1991-03-18,1.424379683,0.005711675,0.563888576
1991-03-19,1.42586229,0.005779679,0.566540139
1991-03-20,1.427225759,0.005798782,0.563888576
1991-03-21,1.429061392,0.00578369,0.565227221
1991-03-22,1.431782713,0.005822416,0.566379701
1991-03-25,1.433157533,0.005876822,0.56840789
1991-03-26,1.435173225,0.00591786,0.570808836
1991-03-27,1.441566117,0.005972289,0.571526547
1991-03-28,1.445212013,0.005932606,0.570874008
1991-03-29,1.445212013,0.005932606,0.570874008
1991-04-01,1.445212013,0.005932606,0.570874008
1991-04-02,1.445003179,0.00590807,0.571951499
1991-04-03,1.443959916,0.005901098,0.573328747
1991-04-04,1.443855672,0.005949194,0.574844792
1991-04-05,1.445441799,0.00594884,0.576036866
1991-04-08,1.447827535,0.005994485,0.573361619
1991-04-09,1.447219891,0.00595061,0.570027931
1991-04-10,1.448288847,0.005980504,0.572901747
1991-04-11,1.447617945,0.005968011,0.57208238
1991-04-12,1.451484143,0.005974429,0.573295878
1991-04-15,1.450641909,0.006025911,0.572475384
1991-04-16,1.447115176,0.005974073,0.569735643
1991-04-17,1.445797068,0.005972289,0.568892934
1991-04-18,1.447932353,0.005973002,0.568828214
1991-04-19,1.451252431,0.006045949,0.570287995
1991-04-22,1.449758615,0.006116956,0.576568266
1991-04-23,1.446403518,0.006135722,0.578302105
1991-04-24,1.438414292,0.006119202,0.57833555
1991-04-25,1.438993855,0.006180852,0.578268664
1991-04-26,1.434596735,0.006148927,0.575705239
1991-04-29,1.438828218,0.00620155,0.576136429
1991-04-30,1.434843746,0.006117705,0.574151691
1991-05-01,1.434843746,0.006117705,0.574151691
1991-05-02,1.435029059,0.00607755,0.574052813
1991-05-03,1.43589449,0.006042296,0.57530779
1991-05-06,1.437752505,0.006113964,0.574877838
1991-05-07,1.436843542,0.006051071,0.573033064
1991-05-08,1.44437704,0.006072752,0.574151691
1991-05-09,1.443418014,0.006089021,0.574184658
1991-05-10,1.440756109,0.006053269,0.573361619
