Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,1.168620,1.168620,1.157660,1.168400,1.168400,0
2019-03-21,1.155350,1.157510,1.149940,1.155440,1.155440,0
2019-03-22,1.154220,1.171650,1.153530,1.153900,1.153900,0
2019-03-25,1.168600,1.169890,1.163190,1.168800,1.168800,0
2019-03-26,1.167240,1.173490,1.163770,1.167740,1.167740,0
2019-03-27,1.171570,1.176110,1.169300,1.171400,1.171400,0
2019-03-28,1.168870,1.172570,1.164160,1.168900,1.168900,0
2019-03-29,1.162200,1.168660,1.156060,1.162200,1.162200,0
2019-04-01,1.160110,1.172330,1.159100,1.160160,1.160160,0
2019-04-02,1.166130,1.167140,1.161600,1.166000,1.166000,0
2019-04-03,1.171300,1.175680,1.168600,1.171500,1.171500,0
2019-04-04,1.171750,1.173530,1.164600,1.171620,1.171620,0
2019-04-05,1.164500,1.168220,1.159070,1.164780,1.164780,0
2019-04-08,1.162000,1.163890,1.156620,1.162070,1.162070,0
2019-04-09,1.160100,1.162880,1.155760,1.160200,1.160200,0
2019-04-10,1.158580,1.163690,1.158100,1.158820,1.158820,0
2019-04-11,1.161200,1.161970,1.158450,1.161440,1.161440,0
2019-04-12,1.159330,1.159650,1.154900,1.159290,1.159290,0
2019-04-15,1.157430,1.159970,1.156000,1.157390,1.157390,0
2019-04-16,1.158660,1.159120,1.154750,1.158500,1.158500,0
2019-04-17,1.155800,1.156100,1.151700,1.155790,1.155790,0
2019-04-18,1.154030,1.157660,1.153700,1.154090,1.154090,0
2019-04-19,1.156200,1.156740,1.155200,1.156190,1.156190,0
2019-04-22,1.155200,1.156400,1.152600,1.155300,1.155300,0
2019-04-23,1.152800,1.157840,1.152800,1.152700,1.152700,0
2019-04-24,1.152520,1.157570,1.152100,1.152600,1.152600,0
2019-04-25,1.156800,1.158910,1.155300,1.156830,1.156830,0
2019-04-26,1.157950,1.159410,1.157570,1.157840,1.157840,0
2019-04-29,1.158630,1.159780,1.156600,1.158610,1.158610,0
2019-04-30,1.156120,1.163610,1.155700,1.156070,1.156070,0
2019-05-01,1.162440,1.164480,1.161800,1.162480,1.162480,0
2019-05-02,1.165110,1.166950,1.163230,1.165300,1.165300,0
2019-05-03,1.166290,1.176790,1.164400,1.166310,1.166310,0
2019-05-06,1.175350,1.175470,1.168700,1.175580,1.175580,0
2019-05-07,1.169140,1.171010,1.165400,1.169150,1.169150,0
2019-05-08,1.167750,1.168050,1.159690,1.167500,1.167500,0
2019-05-09,1.161960,1.163050,1.156410,1.161850,1.161850,0
2019-05-10,1.159550,1.160000,1.157430,1.159510,1.159510,0
2019-05-13,1.157560,1.159340,1.152780,1.157610,1.157610,0
2019-05-14,1.154030,1.154340,1.150400,1.153940,1.153940,0
2019-05-15,1.151840,1.153150,1.144660,1.151840,1.151840,0
2019-05-16,1.146140,1.146520,1.142800,1.146250,1.146250,0
2019-05-17,1.145120,1.145200,1.139270,1.145000,1.145000,0
2019-05-20,1.140040,1.142800,1.138100,1.140150,1.140150,0
2019-05-21,1.139580,1.144980,1.137700,1.139650,1.139650,0
2019-05-22,1.138000,1.139860,1.131100,1.138100,1.138100,0
2019-05-23,1.135100,1.137160,1.131500,1.135120,1.135120,0
2019-05-24,1.131900,1.135910,1.129990,1.131900,1.131900,0
2019-05-27,1.135210,1.137450,1.131500,1.135060,1.135060,0
2019-05-28,1.132760,1.135230,1.131000,1.132500,1.132500,0
2019-05-29,1.133100,1.136370,1.131900,1.133200,1.133200,0
2019-05-30,1.133960,1.135090,1.131220,1.133870,1.133870,0
2019-05-31,1.132500,1.133370,1.126800,1.132700,1.132700,0
2019-06-03,1.131220,1.132910,1.126000,1.131030,1.131030,0
2019-06-04,1.125940,1.129470,1.123460,1.125950,1.125950,0
2019-06-05,1.128610,1.130610,1.126300,1.128610,1.128610,0
2019-06-06,1.129890,1.131210,1.124800,1.129800,1.129800,0
2019-06-07,1.125500,1.129630,1.123540,1.125810,1.125810,0
2019-06-10,1.123600,1.125910,1.119600,1.123400,1.123400,0
2019-06-11,1.121260,1.124570,1.119300,1.121210,1.121210,0
2019-06-12,1.122940,1.126870,1.121700,1.123020,1.123020,0
2019-06-13,1.123910,1.126270,1.120900,1.123600,1.123600,0
2019-06-14,1.124030,1.124570,1.121300,1.123950,1.123950,0
2019-06-17,1.122770,1.122960,1.117900,1.122600,1.122600,0
2019-06-18,1.117150,1.121630,1.114400,1.117230,1.117230,0
2019-06-19,1.122130,1.126570,1.120100,1.121800,1.121800,0
2019-06-20,1.126080,1.126910,1.120700,1.125900,1.125900,0
2019-06-21,1.124950,1.125400,1.117700,1.124960,1.124960,0
2019-06-24,1.120040,1.120990,1.115930,1.119700,1.119700,0
2019-06-25,1.117380,1.121320,1.115680,1.117100,1.117100,0
2019-06-26,1.116200,1.118170,1.113900,1.116000,1.116000,0
2019-06-27,1.116050,1.118730,1.114200,1.115700,1.115700,0
2019-06-28,1.114450,1.118310,1.112100,1.114440,1.114440,0
2019-07-01,1.117280,1.120150,1.113530,1.117250,1.117250,0
2019-07-02,1.120130,1.120860,1.114400,1.120140,1.120140,0
2019-07-03,1.115640,1.115830,1.112200,1.115620,1.115620,0
2019-07-04,1.114670,1.115400,1.113600,1.114300,1.114300,0
2019-07-05,1.114860,1.116080,1.113200,1.114720,1.114720,0
2019-07-08,1.115500,1.116600,1.114200,1.115490,1.115490,0
2019-07-09,1.115600,1.116020,1.110600,1.115700,1.115700,0
2019-07-10,1.111600,1.112940,1.109840,1.111800,1.111800,0
2019-07-11,1.110770,1.115140,1.110200,1.110500,1.110500,0
2019-07-12,1.112990,1.116400,1.112200,1.112800,1.112800,0
2019-07-15,1.115000,1.115400,1.111000,1.115200,1.115200,0
2019-07-16,1.111470,1.111560,1.105280,1.111450,1.111450,0
2019-07-17,1.106650,1.108100,1.104790,1.106740,1.106740,0
2019-07-18,1.107430,1.113530,1.106100,1.107270,1.107270,0
2019-07-19,1.113790,1.116260,1.111310,1.113570,1.113570,0
2019-07-22,1.114900,1.115360,1.110700,1.115200,1.115200,0
2019-07-23,1.112800,1.116770,1.110530,1.113030,1.113030,0
2019-07-24,1.115100,1.122450,1.114900,1.115210,1.115210,0
2019-07-25,1.120450,1.124400,1.116080,1.120100,1.120100,0
2019-07-26,1.117300,1.117420,1.112900,1.116900,1.116900,0
2019-07-29,1.111810,1.111900,1.096880,1.111900,1.111900,0
2019-07-30,1.096300,1.096520,1.088060,1.096300,1.096300,0
2019-07-31,1.089560,1.099860,1.088900,1.089500,1.089500,0
2019-08-01,1.097580,1.099160,1.094360,1.097620,1.097620,0
2019-08-02,1.094190,1.095010,1.090300,1.094000,1.094000,0
2019-08-05,1.093710,1.094780,1.084400,1.093600,1.093600,0
2019-08-06,1.081140,1.091960,1.080800,1.081210,1.081210,0
2019-08-07,1.085990,1.088070,1.081250,1.085870,1.085870,0
2019-08-08,1.083480,1.085910,1.079320,1.083730,1.083730,0
2019-08-09,1.085380,1.085520,1.076280,1.085400,1.085400,0
2019-08-12,1.072610,1.080930,1.072430,1.072430,1.072430,0
2019-08-13,1.076930,1.081230,1.075890,1.076690,1.076690,0
2019-08-14,1.079080,1.083020,1.077700,1.079200,1.079200,0
2019-08-15,1.082050,1.092020,1.080500,1.082200,1.082200,0
2019-08-16,1.088140,1.099850,1.087700,1.088160,1.088160,0
2019-08-19,1.096040,1.097280,1.090600,1.095800,1.095800,0
2019-08-20,1.094380,1.097360,1.088800,1.094290,1.094290,0
2019-08-21,1.096040,1.096700,1.091400,1.095830,1.095830,0
2019-08-22,1.093770,1.107250,1.092070,1.093660,1.093660,0
2019-08-23,1.105250,1.106150,1.099740,1.105200,1.105200,0
2019-08-26,1.100240,1.103100,1.097400,1.100290,1.100290,0
2019-08-27,1.100800,1.108510,1.099400,1.100870,1.100870,0
2019-08-28,1.107410,1.107920,1.096550,1.107300,1.107300,0
2019-08-29,1.102000,1.104560,1.099600,1.102100,1.102100,0
2019-08-30,1.101680,1.108350,1.101240,1.101700,1.101700,0
2019-09-02,1.106100,1.107580,1.097880,1.106000,1.106000,0
2019-09-03,1.100220,1.103290,1.093140,1.100290,1.100290,0
2019-09-04,1.101730,1.108600,1.100800,1.101790,1.101790,0
2019-09-05,1.109300,1.117250,1.107100,1.109650,1.109650,0
2019-09-06,1.116900,1.117760,1.112790,1.116850,1.116850,0
2019-09-09,1.114620,1.122540,1.109340,1.114510,1.114510,0
2019-09-10,1.117460,1.120760,1.114300,1.117320,1.117320,0
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,1.119700,1.120480,1.110900,1.119860,1.119860,0
2019-10-09,null,null,null,null,null,null
2019-10-10,1.111400,1.124160,1.108500,1.111600,1.111600,0
2019-10-11,1.128950,1.149610,1.128500,1.129030,1.129030,0
2019-10-14,1.143410,1.146940,1.134800,1.143800,1.143800,0
2019-10-15,1.143470,1.158470,1.142880,1.143590,1.143590,0
2019-10-16,1.156230,1.162770,1.148140,1.156250,1.156250,0
2019-10-17,1.157400,1.164850,1.149810,1.157400,1.157400,0
2019-10-18,1.156000,1.160060,1.154100,1.156390,1.156390,0
2019-10-21,1.156450,1.165540,1.155180,1.156260,1.156260,0
2019-10-22,1.163010,1.164350,1.158740,1.163060,1.163060,0
2019-10-23,1.157400,1.159640,1.154600,1.157570,1.157570,0
2019-10-24,1.160540,1.162400,1.154090,1.160490,1.160490,0
2019-10-25,1.156230,1.158500,1.153350,1.156130,1.156130,0
2019-10-28,1.157150,1.160450,1.155600,1.157100,1.157100,0
2019-10-29,1.158100,1.161520,1.156040,1.158270,1.158270,0
2019-10-30,1.157500,1.160790,1.156830,1.157570,1.157570,0
2019-10-31,1.156660,1.162500,1.156400,1.156730,1.156730,0
2019-11-01,1.159670,1.163070,1.158050,1.159670,1.159670,0
2019-11-04,1.158200,1.159710,1.156400,1.158500,1.158500,0
2019-11-05,1.157950,1.162940,1.156200,1.158170,1.158170,0
